"","Parameter","Estimates","Standard Error","$z$-value","$p$-value"
"1","$\alpha_1$",11.4741641584387,0.193019305116262,59.445681619916,0
"2","$\alpha_2$",0.270529083129371,0.0215578908186102,12.54895877364,4.02771322742202e-36
"3","$\alpha_3$",5.56478400792198,0.257983537527038,21.5703066221377,3.41423630762791e-103
"4","$\alpha_4$",1.37028267196819,0.23299634503667,5.88113376522076,4.07465691071398e-09
"5","$\alpha_5$",11.370044354569,1.7365700703528,6.54741467026384,5.85416491893661e-11
"6","$\alpha_6$",0.189666138341649,0.0887089186381685,2.138072938475,0.0325108238945957
"7","$\alpha_7$",2.61651999645748,0.185724353732617,14.0881900723931,4.48920123085737e-45
"8","$\beta_0$",8.57555423887976,2.1054580456641,4.07301121793423,4.64091881347304e-05
"9","$\beta_w$",-1.77266129872265,0.462748130702515,-3.83072600645951,0.000127765716619179
